ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Value_RU,Comment_RU
9298,irish_gaelic,A-18,Bilabial and labiodental,A-18-2,,,Губно-губные и губно-зубные,
9299,irish_gaelic,A-19,Dental and alveolar,A-19-6,,,Дентальные и альвеолярные,
9300,irish_gaelic,A-20,Velar and uvular,A-20-3,,,Велярные и увулярные,
9301,irish_gaelic,A-21,,,,,Нижнефарингальные,
9302,irish_gaelic,A-22,By palatalization,A-22-3,,,По палатализации,
9303,irish_gaelic,A-23,"Nasal, liquid and vibrant",A-23-2,,,"Назальные, плавные и вибранты",
9304,irish_gaelic,A-24,"Labial, coronal and guttural",A-24-16,,,"Лабиальные, переднеязычные и заднеязычные",
9305,irish_gaelic,A-25,By palatalization and intensity,A-25-12,,,По палатализации и интенсивности,"Дрожащие имеют широкий диапазон реализаций в зависимости от диалекта. В северном и, частично, западном диалектах есть долгие (сильные) сонанты."
9306,irish_gaelic,B-2,Mora,B-2-2,,,Мора,"Ударение связано с типом фонации, долготой и редукцией гласных."
9307,irish_gaelic,B-3,Phonological and non-phonological,B-3-3,,,Фонологическая и нефонологическая,Фонологический статус ударения варьирует по диалектам.
9308,irish_gaelic,B-4,Dynamic,B-4-1,,,Динамическое,
9309,irish_gaelic,B-5,Fixed,B-5-2,,,Связанное,Место ударения зависит от состава ритмической группы в предложении.
9310,irish_gaelic,B-9,First syllable,B-9-1,,,Начальный слог,"Есть второе главное, второстепенное и третьестепенное ударение."
9311,irish_gaelic,B-15,Phonological and non-phonological,B-15-4,,,Фонологическая и нефонологическая,
9312,irish_gaelic,B-19,Phonation,B-19-4,,,Фонация,
9313,irish_gaelic,B-20,Stiff voice and slack voice,B-20-2,,,Напряженная и слабая,
9314,irish_gaelic,D-4,No differences,D-4-1,,,Отсутствуют,
9315,irish_gaelic,D-5,Differences in accentuation,D-5-3,,,Акцентные различия,
9316,irish_gaelic,D-6,No differences,D-6-1,,,Отсутствуют,
9317,irish_gaelic,D-7,Accompanying and distinctive,D-7-4,,,Сопутствующие и смыслоразличительные,
9318,irish_gaelic,D-8,Vowel and consonant alternations,D-8-6,,,Вокалические и консонантные,Общекельтские консонантные мутации анлаута (лениция и эклипсис) и чередования по мягкости/твердости.
9319,irish_gaelic,E-1,Fusional,E-1-3,,,Флективный,
9320,irish_gaelic,E-2,Cumulative affixes,E-2-2,,,Кумулятивность аффиксов,
9321,irish_gaelic,E-4,Synthetic with elements of analytism,E-4-6,,,Синтетический с элементами аналитизма,Отмечается тенденция к увеличению числа аналитических элементов.
9322,irish_gaelic,F-1,Two,F-1-2,,,Два,
9323,irish_gaelic,F-2,Anlaut mutations,F-2-12,,,Мутации анлаута,"Мутации анлаута у существительного после артикля или притяжательного местоимения, у прилагательного − после существительного."
9324,irish_gaelic,F-3,"Adjectives. Numerals, and pronouns",F-3-14,,,"В прилагательном, числительном и местоимении",
9325,irish_gaelic,F-5,In singular and in plural,F-5-2,,,В единственном и множественном числе,
9326,irish_gaelic,F-6,Absent,F-6-1,,,Отсутствует,Других данных нет.
9327,irish_gaelic,F-7,Absent,F-7-1,,,Отсутствуют,
9328,irish_gaelic,F-8,Lexical,F-8-1,,,Лексическое,
9329,irish_gaelic,F-9,Lexical and syntactic,F-9-4,,,Лексический и синтаксический,"Имеются особые формы количественных числительных и нумеративные конструкции для счета людей, животных и предметов."
9330,irish_gaelic,G-1,Singular and plural,G-1-1,,,Единственное и множественное,В именной системе имеются остаточные формы двойственного числа.
9331,irish_gaelic,G-2,Unmarked,G-2-2,,,Немаркированное,
9332,irish_gaelic,G-4,Predicative and attributive,G-4-4,,,Предикативное и атрибутивное,
9333,irish_gaelic,G-5,Singular and plural,G-5-3,,,Единственное и множественное,"При перечислении употребление форм множественного числа начинается с числительного ""три""."
9334,irish_gaelic,G-6,Decimal with elements of vigesimal,G-6-3,,,Десятичная с элементами двадцатеричной,Имеются синонимичные и взаимозаменяемые  десятеричные и вигезимальные формы числительных.
9335,irish_gaelic,H-1,Three-seven,H-1-2,,,Три-семь,
9336,irish_gaelic,H-2,,,,,"Глагольное согласование, субъектная и объектная форма личного местоимения 3 л. ед.ч., местоименные предлоги и порядок слов",
9337,irish_gaelic,H-4,Genitive,H-4-1,,,Генитив,
9338,irish_gaelic,H-5,,,,,"Притяжательные местоимения (прилагательные), предлоги и суффигированные личные местоимения",
9339,irish_gaelic,H-6,,,,,Местоименные предлоги и наречия,
9340,irish_gaelic,H-7,,,,,"Маркирование есть, требует уточнения",
9341,irish_gaelic,H-8,Same,H-8-1,,,Нет различий,
9342,irish_gaelic,H-9,Present,H-9-1,,,Имеются,
9343,irish_gaelic,I-1,,,,,"Безличная форма глагола, конструкции ""вспомогательный глагол + отглагольное прилагательное/глагольное имя + местоименный предлог""",
9344,irish_gaelic,I-4,Absent,I-4-1,,,Отсутствует,
9345,irish_gaelic,I-5,Past,I-5-1,,,Прошедшее,
9346,irish_gaelic,I-5,Present,I-5-2,,,Настоящее,
9347,irish_gaelic,I-5,Future,I-5-3,,,Будущее,
9348,irish_gaelic,I-6,Syncretic,I-6-2,,,Синкретическое,
9349,irish_gaelic,I-7,,,,,Аффиксы и/или мутации анлаута,
9350,irish_gaelic,I-8,"Person, number, tense, aspect, and modality (mood)",I-8-17,,,"Лицо, число, время, вид и модальность (наклонение)",
9351,irish_gaelic,I-9,In singular and plural,I-9-3,,,В единственном и множественном числе,
9352,irish_gaelic,I-10,Absent,I-10-1,,,Отсутствует,
9353,irish_gaelic,J-1,,,,,"Местоимения-существительные, местоимения-прилагательные и местоименные предлоги",
9354,irish_gaelic,J-2,"Demonstrative pronouns, adverbs, and articles",J-2-44,,,"Указательные местоимения, наречия и артикли",Указательные местоимения представляют собой сочетание демонстратива с личным местоимением.
9355,irish_gaelic,J-3,,,,,Местоименные предлоги,
9356,irish_gaelic,J-4,Pronouns and adverbs,J-4-6,,,Местоимения и наречия,
9357,irish_gaelic,J-5,Absent,J-5-1,,,Отсутствует,
9358,irish_gaelic,J-6,,,,,Артикль и притяжательные местоимения (прилагательные) в сочетании с артиклем,
9359,irish_gaelic,J-8,Negative particles and conjunctions,J-8-33,,,Отрицательные частицы и союзы,
9360,irish_gaelic,J-9,Preposition,J-9-3,,,Препозиция,
9361,irish_gaelic,K-1,Pronominal inflection type,K-1-3,,,Собственный тип склонения,
9362,irish_gaelic,K-2,Only definite,K-2-3,,,Только определенный,
9363,irish_gaelic,K-4,Preposition,K-4-1,,,Препозиция,
9364,irish_gaelic,K-5,Single article preceding the phrase,K-5-1,,,Единый артикль для всей именной группы,
9365,irish_gaelic,K-6,"Definiteness, case, gender and number",K-6-11,,,"Определенность, падеж, род и число",
9366,irish_gaelic,K-7,Two types of conjugation,K-7-2,,,Два типа спряжения,
9367,irish_gaelic,K-8,Subject,K-8-2,,,Субъектное,
9368,irish_gaelic,K-12,"Gender, number and case",K-12-10,,,"Род, число и падеж",
9369,irish_gaelic,K-14,Only in postposition,K-14-5,,,Только в постпозиции,
9370,irish_gaelic,K-15,In number,K-15-2,,,По числу,
9371,irish_gaelic,K-15,In case,K-15-3,,,По падежу,
9372,irish_gaelic,K-15,In gender,K-15-4,,,По роду,
9373,irish_gaelic,K-16,Number and case,K-16-7,,,Число и падеж,
9374,irish_gaelic,K-17,Number and case,K-17-6,,,Числа и падежа,
9375,irish_gaelic,K-18,,,,,"Аффиксы, лениция инициали корня и частицы",
9376,irish_gaelic,K-19,Prefixal-suffixal,K-19-1,,,Префиксально-суффиксальная,"Слово представляет собой комплекс ""проклитики + лексическое слово + суффигируемые элементы и/или энклитики""."
9377,irish_gaelic,L-1,Derivation and compounding,L-1-12,,,Аффиксация и словосложение,
9378,irish_gaelic,L-2,Prefixes and suffixes,L-2-3,,,Префиксы и суффиксы,
9379,irish_gaelic,M-1,Accusative,M-1-3,,,Аккузативная,
9380,irish_gaelic,M-2,Fixed,M-2-1,,,Жесткий,
9381,irish_gaelic,M-3,VSO,M-3-3,,,VSO,
9382,irish_gaelic,M-4,Modifier follows noun,M-4-2,,,Определение следует за определяемым,
9383,irish_gaelic,M-5,Possible,M-5-1,,,Возможно,
9384,irish_gaelic,N-3,Finite forms,N-3-1,,,Финитные формы,
9385,irish_gaelic,N-4,Subordination and compounding,N-4-4,,,Сочинение и подчинение,
9386,irish_gaelic,N-5,Both syndesis and asyndeton possible,N-5-3,,,Союзная и бессоюзная,
9387,irula,A-1,Three,A-1-2,,,Три,
9388,irula,A-2,"Close, mid and open",A-2-3,,,"Верхний, средний и нижний",
9389,irula,A-4,"Front, central and back",A-4-3,,,"Передний, средний (смешанный) и задний",
9390,irula,A-5,Present,A-5-1,,,Присутствуют,
9391,irula,A-6,Two,A-6-1,,,Две ступени,
9392,irula,A-7,Present,A-7-1,,,Присутствует,
9393,irula,A-8,Present for central vowels,A-8-2,,,В среднем ряду,
9394,irula,A-9,Absent,A-9-2,,,Отсутствует,
9395,irula,A-13,No diphthongs and triphthongs,A-13-1,,,Дифтонги и трифтонги отсутствуют,
9396,irula,A-15,Opposition by presence and absence of voice,A-15-1,,,Противопоставление по звонкости/глухости,
9397,irula,A-16,,,,,Только смычные,
9398,irula,A-17,"Labial, coronal, palatal and velar/uvular",A-17-3,,,"Губные, переднеязычные, палатальные и велярные/увулярные",
9399,irula,A-18,Only bilabial,A-18-1,,,Только губно-губные,
9400,irula,A-19,"Dental, alveolar, and retroflex",A-19-20,,,"Дентальные, альвеолярные и ретрофлексные",
9401,irula,A-20,Velar,A-20-1,,,Велярные,
9402,irula,A-22,Absent,A-22-1,,,Отсутствуют,
9403,irula,A-23,"Nasal, liquid, vibrant and glide",A-23-6,,,"Назальные, плавные, вибранты и глайды",
9404,irula,A-24,"Labial, coronal, dorsal and guttural",A-24-17,,,"Лабиальные, переднеязычные, среднеязычные и заднеязычные","Переднеязычные сонорные включают в себя дентальные, альвеолярные и ретрофлексные."
9405,irula,A-25,Absent,A-25-1,,,Отсутствуют,
9406,irula,B-3,,,,,Данных об ударении в И.я. нет,
9407,irula,B-15,Phonological,B-15-1,,,Фонологическая,
9408,irula,B-19,Nasalization,B-19-1,,,Назализация,
9409,irula,C-1,Both null and non-null onset possible,C-1-4,,,Есть прикрытые и неприкрытые слоги,
9410,irula,C-2,Most syllables have a null coda,C-2-3,,,Большинство слогов открытые,
9411,irula,D-1,Limited set of consonants possible,D-1-4,,,Ограниченный набор согласных,
9412,irula,D-5,Differences in phonetic structure,D-5-2,,,Различия в фонетическом составе,
9413,irula,D-7,Distinctive,D-7-3,,,Смыслоразличительные,
9414,irula,D-8,Vowel alternations,D-8-1,,,Вокалические,
9415,irula,E-1,Agglutinative,E-1-1,,,Агглютинативный,
9416,irula,E-3,"One flection can only express one meaning, single inflection/conjugation type, no phonetic alternations in morphemes",E-3-5,,,"Отсутствие полисемантизма флексий, единый тип склонения или спряжения и постоянство морфемного облика",
9417,irula,E-4,Synthetic,E-4-5,,,Синтетический,
9418,irula,F-1,Two,F-1-2,,,Два,Категория рода как в тамильском языке.
9419,irula,F-3,,,,,"В местоимении, числительном и глаголе",
9420,irula,F-7,Person/non-person,F-7-2,,,Личность/неличность,
9421,irula,F-8,Morphological,F-8-2,,,Морфологическое,
9422,irula,G-1,Singular and plural,G-1-1,,,Единственное и множественное,
9423,irula,G-2,Unmarked,G-2-2,,,Немаркированное,
9424,irula,G-4,Predicative,G-4-2,,,Предикативное,
9425,irula,G-5,Singular and plural,G-5-3,,,Единственное и множественное,
9426,irula,G-6,Decimal,G-6-1,,,Десятичная,
9427,irula,H-1,Eight-twelve,H-1-3,,,Восемь-двенадцать,
9428,irula,H-2,Verbal agreement and case affixes,H-2-5,,,Глагольное согласование и падежные аффиксы,
9429,irula,H-4,Genitive,H-4-1,,,Генитив,
9430,irula,H-5,Possessive affixes,H-5-3,,,Посессивные аффиксы,
9431,irula,H-6,,,,,"Местоимения, местоименные наречия и пространственные падежи",
9432,irula,H-7,,,,,"Маркирование есть, требует уточнения",
9433,irula,H-8,Same,H-8-1,,,Нет различий,
9434,irula,I-5,Past,I-5-1,,,Прошедшее,
9435,irula,I-5,Non-past,I-5-5,,,Непрошедшее (настоящее-будущее),
9436,irula,I-6,Separate,I-6-1,,,Раздельное,
9437,irula,I-7,Affixes,I-7-1,,,Аффиксы,
9438,irula,I-8,"Person, number, gender, tense, aspect, and modality (mood)",I-8-19,,,"Лицо, число, род, время, вид и модальность (наклонение)",
9439,irula,I-9,In singular and plural,I-9-3,,,В единственном и множественном числе,
9440,irula,J-1,"Pronominal adverbs, adjectives and nouns",J-1-10,,,"Местоименные наречия, прилагательные и существительные",
9441,irula,J-2,Demonstrative pronouns and nominal affixes,J-2-14,,,Указательные местоимения и именные аффиксы,
9442,irula,J-3,Postpositions,J-3-2,,,Послелоги,
9443,irula,J-4,Pronouns and adverbs,J-4-6,,,Местоимения и наречия,
9444,irula,J-5,Noun affixes,J-5-2,,,Именные аффиксы,
9445,irula,J-7,In verb phrase,J-7-2,,,В глагольной группе,
9446,irula,J-8,,,,,Отрицательные аффиксы и отрицательное спряжение глаголов,
9447,irula,J-9,Incorporation and postposition,J-9-5,,,Инкорпорация или постпозиция,
9448,irula,K-1,Case affixes of pronouns are the same as noun case affixes,K-1-2,,,Падежные местоименные аффиксы совпадают с именными,
9449,irula,K-2,No articles,K-2-1,,,Артикли отсутствуют,
9450,irula,K-7,Two types of conjugation,K-7-2,,,Два типа спряжения,
9451,irula,K-8,Subject,K-8-2,,,Субъектное,
9452,irula,K-9,Absent,K-9-1,,,Отсутствуют,
9453,irula,K-10,,,,,Прошедшее и непрошедшее,
9454,irula,K-11,Absent,K-11-1,,,Отсутствуют,
9455,irula,K-12,Absent,K-12-1,,,Отсутствуют,
9456,irula,K-14,Absent,K-14-2,,,Отсутствует,
9457,irula,K-16,Number and case,K-16-7,,,Число и падеж,
9458,irula,K-17,"Gender / agreement class, number and case",K-17-11,,,"Рода / согласовательного класса, числа и падежа",
9459,irula,K-18,Affixes,K-18-2,,,Аффиксы,
9460,irula,K-19,Mainly or only suffixal,K-19-4,,,Преимущественно или только суффиксальная,
9461,irula,L-1,Derivation and conversion,L-1-24,,,Аффиксация и конверсия,
9462,irula,L-2,Suffixes,L-2-2,,,Суффиксы,
9463,irula,M-1,Accusative,M-1-3,,,Аккузативная,
9464,irula,M-2,Fixed,M-2-1,,,Жесткий,
9465,irula,M-3,SOV,M-3-2,,,SOV,
9466,irula,M-4,Modifier precedes noun,M-4-1,,,Определение предшествует определяемому,
9467,irula,M-5,Possible,M-5-1,,,Возможно,
9468,irula,N-2,Special form of predicate,N-2-4,,,Особое оформление сказуемого,
9469,irula,N-3,Non-finite forms,N-3-2,,,Нефинитные формы,
9470,irula,N-4,Subordination,N-4-2,,,Подчинение,Других данных нет.
9471,ishkashimi,A-1,,,,,От трех до пяти,"Схема, включающая шесть гласных, по количеству степеней подъема не интерпретируется."
9472,ishkashimi,A-2,"Close, close-mid, mid and open",A-2-4,,,"Верхний, верхне-средний, средний и нижний",Гласные по признаку подъема терминологически не интерпретируются.
9473,ishkashimi,A-5,Absent,A-5-2,,,Отсутствуют,
9474,ishkashimi,A-7,Absent,A-7-2,,,Отсутствует,
9475,ishkashimi,A-9,Absent,A-9-2,,,Отсутствует,
9476,ishkashimi,A-16,"Plosives, affricates and fricatives",A-16-3,,,"Взрывные, аффрикаты и фрикативные",
9477,ishkashimi,A-17,"Labial, coronal, palatal and velar/uvular",A-17-3,,,"Губные, переднеязычные, палатальные и велярные/увулярные",
9478,ishkashimi,A-18,Bilabial and labiodental,A-18-2,,,Губно-губные и губно-зубные,
9479,ishkashimi,A-19,,,,,Дорсальные и церебральные,
9480,ishkashimi,A-20,Velar and uvular,A-20-3,,,Велярные и увулярные,
9481,ishkashimi,A-22,Absent,A-22-1,,,Отсутствуют,
9482,ishkashimi,A-23,"Nasal, liquid, vibrant and glide",A-23-6,,,"Назальные, плавные, вибранты и глайды",Глайды /w/ и /y/ определяются как срединные.
9483,ishkashimi,A-24,"Labial, coronal and dorsal",A-24-14,,,"Лабиальные, переднеязычные и среднеязычные",
9484,ishkashimi,A-25,,,,,По признаку церебральный/нецеребральный (ретрофоексный/неретрофлексный),
9485,ishkashimi,B-2,Syllable,B-2-1,,,Слог,
9486,ishkashimi,B-3,Non-phonological,B-3-2,,,Нефонологическая,
9487,ishkashimi,B-4,Pitch-accent and dynamic,B-4-4,,,Музыкально-динамическое,
9488,ishkashimi,B-5,Fixed,B-5-2,,,Связанное,
9489,ishkashimi,B-9,First syllable,B-9-1,,,Начальный слог,
9490,ishkashimi,B-9,Ultima,B-9-4,,,Конечный слог,
9491,ishkashimi,B-15,Non-phonological,B-15-2,,,Нефонологическая,"По количественному признаку гласные определяются как длительные и устойчивые (две степени), и редуцированные."
9492,ishkashimi,B-19,,,,,"Метатеза, ассимиляция и оглушение согласных и выпадение согласых и гласных",
9493,ishkashimi,C-1,Most syllables have a non-null onset,C-1-2,,,Большинство слогов прикрытые,
9494,ishkashimi,C-2,Most syllables have a non-null coda,C-2-2,,,Большинство слогов закрытые,
9495,ishkashimi,D-1,Limited set of consonants possible,D-1-4,,,Ограниченный набор согласных,
9496,ishkashimi,D-2,Limited set of consonants possible,D-2-5,,,Ограниченный набор согласных,
9497,ishkashimi,D-3,Mostly monosyllabic and bisyllabic words,D-3-5,,,Преимущественно одно- и двусложные слова,
9498,ishkashimi,D-4,No differences,D-4-1,,,Отсутствуют,Других данных нет.
9499,ishkashimi,D-5,Differences in phonetic structure,D-5-2,,,Различия в фонетическом составе,
9500,ishkashimi,D-6,Accentual differences,D-6-3,,,Акцентные различия,Других данных нет.
9501,ishkashimi,D-7,Accompanying,D-7-2,,,Сопутствующие,
9502,ishkashimi,D-8,Vowel and consonant alternations,D-8-6,,,Вокалические и консонантные,
9503,ishkashimi,E-1,Fusional-agglutinative,E-1-5,,,Флективно-агглютинативный,
9504,ishkashimi,E-4,Synthetic with elements of analytism,E-4-6,,,Синтетический с элементами аналитизма,
9505,ishkashimi,F-1,No agreement classes,F-1-1,,,Согласовательные классы отсутствуют,
9506,ishkashimi,F-8,Morphological and syntactic,F-8-6,,,Морфологическое и синтаксическое,
9507,ishkashimi,F-9,Morphological and syntactic,F-9-5,,,Морфологический и синтаксический,
9508,ishkashimi,G-2,Unmarked,G-2-2,,,Немаркированное,
9509,ishkashimi,G-4,Predicative,G-4-2,,,Предикативное,
9510,ishkashimi,G-5,Singular and plural,G-5-3,,,Единственное и множественное,
9511,ishkashimi,G-6,Decimal,G-6-1,,,Десятичная,
9512,ishkashimi,H-1,One-two,H-1-1,,,Один-два,
9513,ishkashimi,H-2,,,,,"Глагольное согласование, (факультативные) падежные аффиксы, предлоги и послелоги",
9514,ishkashimi,H-5,Possessive affixes and possessive pronouns,H-5-9,,,Посессивные аффиксы и посессивные местоимения,
9515,ishkashimi,H-6,,,,,"Указательные местоимения, наречия, предлоги и послелоги",
9516,ishkashimi,I-1,Category of voice is absent,I-1-1,,,Категория залога отсутствует,Других данных нет.
9517,ishkashimi,I-5,Past,I-5-1,,,Прошедшее,
9518,ishkashimi,I-5,Non-past,I-5-5,,,Непрошедшее (настоящее-будущее),
9519,ishkashimi,I-6,Syncretic,I-6-2,,,Синкретическое,
9520,ishkashimi,I-7,,,,,"Тип основы, личные показатели, подвижные энклитические показатели лица и числа, вспомогательный глагол + причастие, аффикмы и частицы",
9521,ishkashimi,I-8,"Person, number, tense, aspect, and modality (mood)",I-8-17,,,"Лицо, число, время, вид и модальность (наклонение)",
9522,ishkashimi,I-9,In singular and plural,I-9-3,,,В единственном и множественном числе,
9523,ishkashimi,I-10,Absent,I-10-1,,,Отсутствует,Других данных нет.
9524,ishkashimi,J-1,"Pronominal adverbs, adjectives and nouns",J-1-10,,,"Местоименные наречия, прилагательные и существительные",
9525,ishkashimi,J-2,,,,,"Указательные местоимения, наречия, предлоги и послелоги",
9526,ishkashimi,J-3,Adpositions,J-3-9,,,Предлоги и послелоги,
9527,ishkashimi,J-4,Pronouns and adverbs,J-4-6,,,Местоимения и наречия,
9528,ishkashimi,J-5,Noun affixes,J-5-2,,,Именные аффиксы,В фольклорных текстах.
9529,ishkashimi,J-6,"Pronouns, adjectives and numerals",J-6-20,,,"Местоимения, прилагательные и числительные",
9530,ishkashimi,J-8,Negative particles,J-8-3,,,Отрицательные частицы,
9531,ishkashimi,J-9,Preposition,J-9-3,,,Препозиция,
9532,ishkashimi,K-1,Pronominal inflection type,K-1-3,,,Собственный тип склонения,
9533,ishkashimi,K-2,No articles,K-2-1,,,Артикли отсутствуют,
9534,ishkashimi,K-7,Three types of conjugation,K-7-3,,,Три типа спряжения,
9535,ishkashimi,K-8,Subject,K-8-2,,,Субъектное,
9536,ishkashimi,K-10,Present and past,K-10-6,,,Настоящее и прошедшее,
9537,ishkashimi,K-14,Absent,K-14-2,,,Отсутствует,Других данных нет.
9538,ishkashimi,K-16,Number,K-16-4,,,Число,
9539,ishkashimi,K-17,Number and case,K-17-6,,,Числа и падежа,
9540,ishkashimi,K-18,Affixes,K-18-2,,,Аффиксы,
9541,ishkashimi,K-19,Prefixal-suffixal,K-19-1,,,Префиксально-суффиксальная,
9542,ishkashimi,L-1,Derivation and compounding,L-1-12,,,Аффиксация и словосложение,
9543,ishkashimi,L-2,Prefixes and suffixes,L-2-3,,,Префиксы и суффиксы,
9544,ishkashimi,M-1,Accusative,M-1-3,,,Аккузативная,
9545,ishkashimi,M-3,SOV,M-3-2,,,SOV,
9546,ishkashimi,M-4,,,,,"Неизафетное определение предшествует определяемому, другие могут быть препозитивными или постпозитивными",
9547,ishkashimi,N-4,Subordination and compounding,N-4-4,,,Сочинение и подчинение,
9548,ishkashimi,N-5,Both syndesis and asyndeton possible,N-5-3,,,Союзная и бессоюзная,
9549,issyk_kul_kalmyk,A-1,Two,A-1-1,,,Два,"В таблице гласных вместо термина ""подъем"" употребляется термин ""раствор"""
9550,issyk_kul_kalmyk,A-4,Front and back,A-4-2,,,Передний и непередний / задний,
9551,issyk_kul_kalmyk,A-5,Present,A-5-1,,,Присутствуют,
9552,issyk_kul_kalmyk,A-6,Two,A-6-1,,,Две ступени,
9553,issyk_kul_kalmyk,A-7,Present,A-7-1,,,Присутствует,
9554,issyk_kul_kalmyk,A-8,Present for front and back vowels,A-8-5,,,В переднем и заднем / непереднем рядах,
9555,issyk_kul_kalmyk,A-9,Absent,A-9-2,,,Отсутствует,
9556,issyk_kul_kalmyk,A-13,No diphthongs and triphthongs,A-13-1,,,Дифтонги и трифтонги отсутствуют,
9557,issyk_kul_kalmyk,A-16,"Plosives, affricates and fricatives",A-16-3,,,"Взрывные, аффрикаты и фрикативные","Автор статьи употребляет термины ""взрывные"" вместо термина ""аффрикаты""."
9558,issyk_kul_kalmyk,A-17,"Labial, coronal, palatal, guttural and laryngeal",A-17-2,,,"Губные, переднеязычные, палатальные, велярные/увулярные и ларингальные",
9559,issyk_kul_kalmyk,A-18,Bilabial and labiodental,A-18-2,,,Губно-губные и губно-зубные,
9560,issyk_kul_kalmyk,A-20,Velar and uvular,A-20-3,,,Велярные и увулярные,
9561,issyk_kul_kalmyk,A-21,Only pharyngeal,A-21-1,,,Только фарингальные,
9562,issyk_kul_kalmyk,A-22,Absent,A-22-1,,,Отсутствуют,
9563,issyk_kul_kalmyk,B-1,Stress,B-1-1,,,Ударение,"Информация из общей статьи о монгольских языках. В статье ""Иссык-кульских калмыков язык"" нет сведений о просодическом составе языка."
9564,issyk_kul_kalmyk,B-2,Syllable,B-2-1,,,Слог,
9565,issyk_kul_kalmyk,B-3,Phonological,B-3-1,,,Фонологическая,
9566,issyk_kul_kalmyk,B-4,Dynamic,B-4-1,,,Динамическое,
9567,issyk_kul_kalmyk,B-5,Fixed,B-5-2,,,Связанное,
9568,issyk_kul_kalmyk,B-6,Strictly fixed,B-6-1,,,Строго фиксированное,
9569,issyk_kul_kalmyk,B-7,Fixed,B-7-2,,,Неподвижное,
9570,issyk_kul_kalmyk,B-8,First syllable,B-8-1,,,На первом слоге от начала слова,
9571,istriot,A-1,Three,A-1-2,,,Три,
9572,istriot,A-2,"Close, mid and open",A-2-3,,,"Верхний, средний и нижний",
9573,istriot,A-3,Mid,A-3-2,,,В среднем,
9574,istriot,A-4,"Front, central and back",A-4-3,,,"Передний, средний (смешанный) и задний",
9575,istriot,A-5,Present,A-5-1,,,Присутствуют,
9576,istriot,A-6,Two,A-6-1,,,Две ступени,
9577,istriot,A-7,Absent,A-7-2,,,Отсутствует,
9578,istriot,A-9,Absent,A-9-2,,,Отсутствует,
9579,istriot,A-13,Only diphthongs present,A-13-2,,,Только дифтонги,
9580,istriot,A-14,Rising (ascending) and falling (descending),A-14-3,,,Восходящие и нисходящие,Преобладают нисходящие дифтонги.
9581,istriot,A-15,Opposition by presence and absence of voice,A-15-1,,,Противопоставление по звонкости/глухости,
9582,istriot,A-16,"Plosives, affricates and fricatives",A-16-3,,,"Взрывные, аффрикаты и фрикативные",
9583,istriot,A-17,"Labial, coronal, palatal and velar/uvular",A-17-3,,,"Губные, переднеязычные, палатальные и велярные/увулярные",
9584,istriot,A-18,Bilabial and labiodental,A-18-2,,,Губно-губные и губно-зубные,
9585,istriot,A-19,Dental and alveolar,A-19-6,,,Дентальные и альвеолярные,
9586,istriot,A-20,Velar,A-20-1,,,Велярные,
9587,istriot,A-22,Absent,A-22-1,,,Отсутствуют,
9588,istriot,A-23,"Nasal, liquid, vibrant and glide",A-23-6,,,"Назальные, плавные, вибранты и глайды",Глайды определяются как полусогласные [w] и [j] или полугласные [u?] и [i?].
9589,istriot,A-24,"Labial, coronal and dorsal",A-24-14,,,"Лабиальные, переднеязычные и среднеязычные",
9590,istriot,A-25,Absent,A-25-1,,,Отсутствуют,
9591,istriot,B-2,Syllable,B-2-1,,,Слог,
9592,istriot,B-3,Phonological and non-phonological,B-3-3,,,Фонологическая и нефонологическая,
9593,istriot,B-4,Dynamic,B-4-1,,,Динамическое,
9594,istriot,B-5,Fixed,B-5-2,,,Связанное,
9595,istriot,B-9,,,,,Неприменимо,
9596,istriot,B-15,Phonological and rhythmic,B-15-5,,,Фонологическая и ритмическая,
9597,istriot,B-19,,,,,"Эпентеза, апокопа и афереза гласных, протеза согласного",
9598,istriot,C-1,Both null and non-null onset possible,C-1-4,,,Есть прикрытые и неприкрытые слоги,
9599,istriot,C-2,Both null and non-null ocoda possible,C-2-4,,,Есть закрытые и открытые слоги,
9600,istriot,D-1,Limited set of consonants possible,D-1-4,,,Ограниченный набор согласных,
9601,istriot,D-2,,,,,Ограниченный набор гласных и согласных и запрет на стечение согласных,
9602,istriot,D-3,Mostly bisyllabic words,D-3-6,,,Преимущественно двусложные слова,
9603,istriot,D-5,Differences in phonetic structure,D-5-2,,,Различия в фонетическом составе,
9604,istriot,D-6,No differences,D-6-1,,,Отсутствуют,Других данных нет.
9605,istriot,E-1,Fusional,E-1-3,,,Флективный,
9606,istriot,E-2,Phonetically unconditioned stem alternations and cumulative affixes,E-2-7,,,Фонетически необусловленные изменения в основе и кумулятивность аффиксов,
9607,istriot,E-4,Synthetic with elements of analytism,E-4-6,,,Синтетический с элементами аналитизма,
9608,istriot,F-1,Two,F-1-2,,,Два,
9609,istriot,F-2,Articles,F-2-1,,,Артикли,
9610,istriot,F-3,"Adjectives, numerals, pronouns, participles, and articles",F-3-21,,,"В прилагательном, числительном, местоимении, причастии и артикле",
9611,istriot,F-5,In singular and in plural,F-5-2,,,В единственном и множественном числе,
9612,istriot,G-1,Singular and plural,G-1-1,,,Единственное и множественное,Структура числительных аналогична итальянской (с фонетическими отличиями).
9613,istriot,G-4,Predicative and attributive,G-4-4,,,Предикативное и атрибутивное,
9614,istriot,G-5,Singular and plural,G-5-3,,,Единственное и множественное,
