id,feature_id,en,ru,description_formatted_en,description_formatted_ru
D-2-8,D-2,No long (geminate) consonants,Запрет на  долгие (геминированные) согласные,,<p>Орочский</p>
D-3-1,D-3,Absent,Отсутствуют,,
D-3-2,D-3,Present,Присутствуют,,
D-4-1,D-4,Only vowels possible,Только гласные,,"<p><i>Например, гбан</i></p>"
D-4-2,D-4,Only consonants possible,Только согласные,,
D-4-3,D-4,Limited set of vowels possible,Ограниченный набор гласных,,
D-4-4,D-4,Limited set of consonants possible,Ограниченный набор согласных,,"<p><i>Например, испанский, польский</i></p>"
D-4-5,D-4,Limitations on consonant sequences (combinations),Ограничения на последовательность (сочетания) согласных,,"<p>Например, панджаби: <b><i>Помимо перечисленных выше, в конце слова, но только после центральных гласных, допускаются также следующие типы консонантных сочетаний: 1) смычный + смычный; 2) /ḷ/ + смычный, фрикативный, носовой; 3) /r/ + смычный, фрикативный, боковой, носовой; 4) /ṛ/ + смычный; 5) носовой + гетерорганный смычный; 6) фрикативный + носовой.</i></b></p>"
D-4-6,D-4,No vowel clusters,Запрет на любые стечения гласных,,<p><i>Ительменский</i></p>
D-4-7,D-4,No consonant clusters,Запрет на любые стечения согласных,,
D-4-8,D-4,No clusters of more than two consonants,Запрет на стечение более двух согласных,,"<p><i>Например, валлийский</i></p>"
D-4-9,D-4,No long (geminate) consonants,Запрет на  долгие (геминированные) согласные,,"<p><i>Например, орочский</i></p>"
D-5-1,D-5,Mainly monosyllabic words,Преимущественно односложные слова,,"<p><i>Например, африкаанс</i></p>"
D-5-2,D-5,Mostly monosyllabic and bisyllabic words,Преимущественно одно- и двусложные слова,,"<p><i>Например, румынский</i></p>"
D-5-3,D-5,Mostly bisyllabic words,Преимущественно двусложные слова,,"<p><i>Например, истророманский</i></p>"
D-5-4,D-5,Mainly polysyllabic words,Преимущественно неодносложные слова,,"<p>Например, старославянский</p>"
D-6-1,D-6,Absent,Отсутствуют,,
D-6-2,D-6,Present,Присутствуют,,
D-7-1,D-7,Differences in phonetic structure,Различия в фонетическом составе,,"<p><i>Например, в латышском</i></p>"
D-7-2,D-7,Differences in accentuation,Акцентные различия,,"<p>Чаще всего служебные слова оказываются без ударения, <i>например, в венгерском</i></p>"
D-7-3,D-7,Differences in syllable structure,Различия в структуре слога,,"<p>Например, в локо, <b><i>в пункте 2.2.2: “Только для знаменательных частей речи (в отличие от служебных) характерна полная редупликация, см. 2.5.2”</i></b></p>"
D-7-4,D-7,Tone differences,Тоновые различия,,<p>Вариации в выборе типа тона</p>
D-8-1,D-8,Differences in phonetic structure,Различия в фонетическом составе,,"<p><i>Например, галисийский</i></p>"
D-8-2,D-8,Differences in accentuation,Акцентные различия,,"<p>Бходжпури, <b><i>в 2.1.2: “За исключением отдельных заимствований, а также статистически незначимых вариантов, ударение в Б.я. обычно падает на предпоследний слог в двусложных словах и на третий с конца — в более длинных.”</i></b></p>"
D-8-3,D-8,Differences in syllable structure,Различия в структуре слога,,"<p>Например, в польском: <b><i>“Сочетание двух гласных на стыке слогов в исконной лексике возможно лишь на стыке морфем: двух префиксов (uodpornić ‛закалить’, poukładać ‛уложить, положить’) или префикса и корня (poobiedni ‛послеобеденный’)”</i></b></p>"
D-9-1,D-9,Differences in phonetic structure,Различия в фонетическом составе,,"<p>Например, нганасанский: <b><i>“В отличие от корневых суффиксальные морфемы могут состоять из одних согласных”</i></b></p>"
D-9-2,D-9,Accentual differences,Акцентные различия,,
D-9-3,D-9,Differences in syllable structure,Различия в структуре слога,,"<p>Например, в бамана: <b><i>“Личные местоимения представлены в большинстве своем слогами структуры V; слова такой структуры почти не встречаются за пределами этой категории”</i></b></p>"
D-9-4,D-9,Differences in tones,Тоновые различия,,
D-9-5,D-9,Differences in number of syllables,Различия в количестве слогов,,
D-10-1,D-10,No alternations,Чередования отсутствуют,,
D-10-2,D-10,Accompanying,Сопутствующие,,
D-10-3,D-10,Distinctive,Смыслоразличительные,,
D-10-4,D-10,Accompanying and distinctive,Сопутствующие и смыслоразличительные,,
D-11-1,D-11,Vowel alternations,Вокалические,,
D-11-2,D-11,Consonant alternations,Консонантные,,
D-11-3,D-11,Mixed alternations,Смешанные,,
D-11-4,D-11,Tone alternations,Тоновые,,
D-11-5,D-11,Phoneme complex alternations,Чередование комплексов фонем,,
D-11-6,D-11,Vowel and consonant alternations,Вокалические и консонантные,,
D-11-7,D-11,Vowel and mixed alternations,Вокалические и смешанные,,
D-11-8,D-11,"Vowel, consonant and mixed alternations","Вокалические, консонантные и смешанные",,
D-11-9,D-11,Consonant and phoneme complex alternations,Консонантные и чередование комплексов,,
D-11-10,D-11,"Vowel, consonant, mixed, and phoneme complex alternations","Вокалические, консонантные, смешанные и чередование комплексов",,
D-11-11,D-11,"Vowel, consonant, and phoneme complex alternations","Вокалические, консонантные и чередования комплексов",,
D-11-12,D-11,Vowel and tone alternations,Вокалические и тоновые,,
D-11-13,D-11,Consonant and tone alternations,Консонантные и тоновые,,
E-1-1,E-1,Agglutinative,Агглютинативный,,
E-1-2,E-1,Agglutinative with some fusional features,Агглютинативный с элементами флективного,,
E-1-3,E-1,Fusional,Флективный,,
E-1-4,E-1,Fusional with some agglutinative features,Флективный с элементами агглютинации,,
E-1-5,E-1,Fusional-agglutinative,Флективно-агглютинативный,,
E-2-1,E-2,Internal flection,Внутренняя флексия,,
E-2-2,E-2,Cumulative affixes,Кумулятивность аффиксов,,
E-2-3,E-2,Phonetically unconditioned stem alternations,Фонетически необусловленные изменения в основе,,
E-2-4,E-2,Phonetically unconditioned fusion,Фонетически необусловленная фузия,,
E-2-5,E-2,"Cumulative affixes, several conjugation types",Кумулятивность аффиксов и наличие параллельных типов словоизменения,,
E-2-6,E-2,"Cumulative affixes, several conjugation types, phonetically unconditioned stem alternations","Кумулятивность аффиксов, наличие параллельных типов словоизменения и фонетически необусловленные изменения в основе",,
E-2-7,E-2,Phonetically unconditioned stem alternations and cumulative affixes,Фонетически необусловленные изменения в основе и кумулятивность аффиксов,,
E-2-8,E-2,"Internal flection, phonetically unconditioned fusion",Внутренняя флексия и фонетически необусловленная фузия,,
E-2-9,E-2,Internal and external flection,Внутренняя и внешняя флексия,,
E-2-10,E-2,Internal flection and cumulative flections,Внутренняя флексия и кумулятивность флексий,,
E-2-11,E-2,"Cumulative flections, phonetically unconditioned stem alternations and phonetically unconditioned fusion","Кумулятивность флексий, фонетически необусловленные изменения в основе и фонетически необусловленная фузия",,
E-2-12,E-2,"Cumulative affixes, internal flection, several declension types","Кумулятивность аффиксов, внутренняя флексия, наличие параллельных типов склонения",,
E-2-13,E-2,"Cumulative flections, phonetically unconditioned stem alternations, phonetically unconditioned fusion, several declension types","Кумулятивность флексий, фонетически необусловленные изменения в основе, фонетически необусловленная фузия и наличие параллельных типов словоизменения",,
E-2-14,E-2,"Internal flection, several declension types, phonetically unconditioned stem alternations","Внутренняя флексия, наличие параллельных типов словоизменения и фонетически необусловленные изменения в основе",,
E-3-1,E-3,One flection can only express one meaning,Отсутствие полисемантизма флексий,,
E-3-2,E-3,Single inflection/conjugation type,Единый тип склонения или спряжения,,
E-3-3,E-3,Low degree of fusion between root and non-root morphemes,Низкая степень фузии между некорневыми и корневыми морфемами,,
E-3-4,E-3,No phonetic alternations in morphemes,Постоянство морфемного облика,,
E-3-5,E-3,"One flection can only express one meaning, single inflection/conjugation type, no phonetic alternations in morphemes","Отсутствие полисемантизма флексий, единый тип склонения или спряжения и постоянство морфемного облика",,
E-3-6,E-3,"One flection can only express one meaning, single inflection/conjugation type, no phonetic alternations in morphemes, basic form bare stem","Отсутствие полисемантизма флексий, единый тип склонения или спряжения, постоянство морфемного облика и совпадение исходной формы с чистой основой",,
E-3-7,E-3,"No phonetic alternations in morphemes, basic form bare stem",Постоянство морфемного облика и совпадение исходной формы с чистой основой,,
E-3-8,E-3,"No phonetic alternations in morphemes, one flection can only express one meaning",Постоянство морфемного облика и отсутствие полисемантизма флексий,,
E-3-9,E-3,"No phonetic alternations in morphemes, one flection can only express one meaning, basic form bare stem","Постоянство морфемного облика, отсутствие полисемантизма флексий и совпадение исходной формы с чистой основой",,
E-4-1,E-4,Polysynthetic,Полисинтетический,,
E-4-2,E-4,Analytic,Аналитический,,
E-4-3,E-4,Analytic with elements of synthetism,Аналитический с элементами синтетизма,,
E-4-4,E-4,Isolating,Изолирующий,,
E-4-5,E-4,Synthetic,Синтетический,,
E-4-6,E-4,Synthetic with elements of analytism,Синтетический с элементами аналитизма,,
E-4-7,E-4,Synthetic with elements of polysynthetism,Синтетический с элементами полисинтетизма,,
F-1-1,F-1,No agreement classes,Согласовательные классы отсутствуют,,
F-1-2,F-1,Two,Два,,
F-1-3,F-1,Three,Три,,
F-1-4,F-1,Four,Четыре,,
F-1-5,F-1,Six,Шесть,,
F-1-6,F-1,Two or three,Два или три,,
F-2-1,F-2,Articles,Артикли,,
F-2-2,F-2,Umlaut,Перегласовка основы,,
F-2-3,F-2,Verbal affixes,Аффиксация в глаголе,,
F-2-4,F-2,Verbal affixes and adjective affixes,Аффиксация в глаголе и прилагательном,,
F-2-5,F-2,Umlaut and affixes,Перегласовка основы и аффиксация,,
F-2-6,F-2,Nominal flections and articles,Артикли и флексии в имени,,
F-2-7,F-2,Nominal flections,Именные флексии,,
F-2-8,F-2,Case and number flections,Падежно-числовые флексии,,
F-2-9,F-2,Nominal and verb flections,Флексии в имени и глаголе,,
F-2-10,F-2,Articles and case and number flections,Артикли и падежно-числовые флексии,,
F-2-11,F-2,Articles and nominal and verb flections,Артикли и флексии в имени и глаголе,,
F-2-12,F-2,Anlaut mutations,Мутации анлаута,,
F-3-1,F-3,Articles,В артикле,,
F-3-2,F-3,Verbs,В глаголе,,
F-3-3,F-3,Pronouns,В местоимении,,
F-3-4,F-3,Adverbs,В наречии,,
F-3-5,F-3,Postpositions,В послелоге,,
F-3-6,F-3,Adjectives,В прилагательном,,
F-3-7,F-3,Participles,В причастии,,
F-3-8,F-3,Numerals,В числительном,,
F-3-9,F-3,"Pronouns, adjectives, and verbs","В местоимении, прилагательном и глаголе",,
F-3-10,F-3,"Adjectives, verbs, and numerals","В прилагательном, глаголе и числительном",,
F-3-11,F-3,"Adjectives, numerals, pronouns, and verbs","В прилагательном, числительном, местоимении и глаголе",,
F-3-12,F-3,Adjectives and verbs,В прилагательном и глаголе,,
F-3-13,F-3,"Adjectives, verbs, and adverbs","В прилагательном, глаголе и наречии",,
F-3-14,F-3,"Adjectives. Numerals, and pronouns","В прилагательном, числительном и местоимении",,
F-3-15,F-3,"Adjectives, pronouns, participles, and articles","В прилагательном, местоимении, причастии и артикле",,
F-3-16,F-3,"Adjectives, numerals, pronouns, and participles","В прилагательном, числительном, местоимении и причастии",,
F-3-17,F-3,"Adjectives, numerals, pronouns, verbs, and participles","В прилагательном, числительном, местоимении, глаголе и причастии",,
F-3-18,F-3,Adjectives and numerals,В прилагательном и числительном,,
F-3-19,F-3,Verbs and pronouns,В глаголе и местоимении,,
F-3-20,F-3,"Adjectives, numerals, pronouns, and articles","В прилагательном, числительном, местоимении и артикле",,
F-3-21,F-3,"Adjectives, numerals, pronouns, participles, and articles","В прилагательном, числительном, местоимении, причастии и артикле",,
F-3-22,F-3,"Adjectives, pronouns, and participles","В прилагательном, местоимении и причастии",,
F-3-23,F-3,"Adjectives, pronouns, verbs, and participles","В прилагательном, местоимении, глаголе и причастии",,
F-3-24,F-3,"Adjectives, pronouns, and articles","В прилагательном, местоимении и артикле",,
F-4-1,F-4,Classifier verbs,Классифицирующие глаголы,,
F-4-2,F-4,Numeral classifiers,Счетные классификаторы,,
F-5-1,F-5,Only in singular,Только в единственном числе,,
F-5-2,F-5,In singular and in plural,В единственном и множественном числе,,
F-5-3,F-5,"In singular, dual, and plural","В единственном, двойственном и множественном числе",,
F-5-4,F-5,Absent,Отсутствует,,
F-6-1,F-6,Absent,Отсутствует,,
F-6-2,F-6,Always present,Всегда присутствует,,
F-6-3,F-6,"For ""one""","Для числительного ""один""",,
F-6-4,F-6,"For ""one"", ""two""","Для числительных ""один"" и ""два""",,
F-6-5,F-6,"For ""one"", ""two"", ""three"", ""four""","Для числительных ""один"", ""два"", ""три"" и ""четыре""",,
F-6-6,F-6,"For ""one"", ""two"", ""three""","Для числительных ""один"", ""два"" и ""три""",,
F-6-7,F-6,"For ""one"", ""three"", ""four""","Для числительных ""один"", ""три"", ""четыре""",,
F-7-1,F-7,Absent,Отсутствуют,,
F-7-2,F-7,Person/non-person,Личность/неличность,,
F-7-3,F-7,Animacy/inanimacy,Одушевленность/неодушевленность,,
F-7-4,F-7,Person/non-person and animacy/inanimacy,Личность/неличность и одушевленность/неодушевленность,,
F-7-5,F-7,Class,Класс,,
F-7-6,F-7,Countability/uncountability,Исчисляемость/неисчисляемость,,
F-7-7,F-7,"Person/non-person, animacy/inanimacy, and definiteness/indefiniteness","Личность/неличность, одушевленность/неодушевленность и определенность/неопределенность",,
F-8-1,F-8,Lexical,Лексическое,,
F-8-2,F-8,Morphological,Морфологическое,,
F-8-3,F-8,Syntactic,Синтаксическое,,
F-8-4,F-8,Lexical and morphological,Лексическое и морфологическое,,
F-8-5,F-8,Lexical and syntactic,Лексическое и синтаксическое,,
F-8-6,F-8,Morphological and syntactic,Морфологическое и синтаксическое,,
F-8-7,F-8,"Lexical, morphological and syntactic","Лексическое, морфологическое и синтаксическое",,
F-9-1,F-9,Lexical,Лексический,,
F-9-2,F-9,Morphological,Морфологический,,
F-9-3,F-9,Syntactic,Синтаксический,,
F-9-4,F-9,Lexical and syntactic,Лексический и синтаксический,,
F-9-5,F-9,Morphological and syntactic,Морфологический и синтаксический,,
F-9-6,F-9,Lexical and morphological,Лексический и морфологический,,
F-9-7,F-9,"Lexical, morphological, and syntactic","Лексический, морфологический и синтаксический",,
G-1-1,G-1,Singular and plural,Единственное и множественное,,"Единственное число — ‘один объект’, множественное число — ‘более одного объекта’"
G-1-2,G-1,"Singular, dual and plural","Единственное, двойственное и множественное",,"Единственное число — ‘один объект’, двойственное число — ‘два объекта’, множественное число — ‘более двух объектов’"
G-2-1,G-2,Marked,Маркированное,,У всех существительных единственное число маркируется специальным (не кумулятивным) показателем.
G-2-2,G-2,Unmarked,Немаркированное,,"Нет специального грамматического показателя, выражающего единственное число."
G-2-3,G-2,Marked and unmarked,Маркированное и немаркированное,,"У некоторых групп существительных или в некоторых формах существительного единственное число маркируется специальным грамматическим показателем, в прочих случаях единственное число не маркируется."
G-3-1,G-3,Absent,Отсутствуют,,Специализированных грамматических форм для выражения вежливости в системе местоимений и глаголов нет.
G-3-2,G-3,Neutral and polite,Нейтральная и вежливая,,Нейтральная — ‘говорящий и адресат находятся на одном социальном уровне’; вежливая — ‘адресат находится выше говорящего по социальному положению’.
G-3-3,G-3,"Neutral, polite, and impolite","Нейтральная, вежливая и фамильярная",,Нейтральная — ‘говорящий и адресат находятся на одном социальном уровне’; вежливая — ‘адресат находится выше говорящего в некоторой иерархии’; фамильярная (пейоративная) — ‘адресат находится ниже говорящего в некоторой иерархии’.
G-3-4,G-3,Pluralis majestatis,"Нейтральная, вежливая и почтительная",,Нейтральная — ‘говорящий и адресат находятся на одном социальном уровне’; вежливая — ‘адресат находится выше говорящего в некоторой иерархии’; почтительная — ‘адресат находится значительно выше говорящего в некоторой иерархии’.
G-4-1,G-4,No agreement in number,Отсутствует,,Согласование по числу глаголов и атрибутивов с существительными отсутствует.
G-4-2,G-4,Predicative,Предикативное,,"Глагол согласуется по числу со своими аргументами (субъектом и/или объектом), атрибутивное согласование отсутствует."
G-4-3,G-4,Attributive,Атрибутивное,,"Определение (прилагательное, причастие, местоимения) согласуется по числу с определяемым существительным, предикативное согласование отсутствует."
G-4-4,G-4,Predicative and attributive,Предикативное и атрибутивное,,"Глагол согласуется по числу со своими аргументами (субъектом и/или объектом), а определение (прилагательное, причастие, местоимения) согласуется по числу с определяемым существительным."
G-5-1,G-5,Singular,Единственное,,Существительное в сочетании с числительными больше единицы всегда имеет форму единственного числа.
G-5-2,G-5,Plural,Множественное,,Существительное в сочетании с числительными больше единицы всегда имеет форму множественного числа.
G-5-3,G-5,Singular and plural,Единственное и множественное,,"Существительное в сочетании с числительными больше единицы может для разных групп существительных и/или для разных числительных принимать формы как единственного, так и множественного числа."
G-5-4,G-5,"Singular, dual, and plural","Единственное, двойственное и множественное",,"Существительное в сочетании с числительными больше единицы может для разных групп существительных и/или для разных числительных принимать формы единственного, двойственного и/или множественного числа."
G-6-1,G-6,Decimal,Десятичная,,Названия числительных образуются по основанию числительного «десять».
G-6-2,G-6,Decimal with elements of duodecimal,Десятичная с элементами двенадцатеричной,,"Названия числительных образуются по основанию числительных «десять» и, реже, «двенадцать»."
G-6-3,G-6,Decimal with elements of vigesimal,Десятичная с элементами двадцатеричной,,"Названия числительных образуются по основанию числительных «десять» и, реже, «двадцать»."
G-6-4,G-6,Vigesimal with elements of decimal,Двадцатеричная с элементами десятичной,,"Названия числительных образуются по основанию числительных «двадцать» и, реже, «десять»."
G-6-5,G-6,Vigesimal with elements of quinary,Двадцатеричная с элементами пятеричной,,"Названия числительных образуются по основанию числительных «двадцать» и, реже, «пять»."
G-6-6,G-6,Vigesimal,Двадцатеричная,,Названия числительных образуются по основанию числительного «двадцать».
G-6-7,G-6,"Mixed, with elements of quinary, decimal, pentadecimal, and vigesimal","Смешанная с элементами пятеричной, десятичной, пятнадцатеричной и двадцатеричной",,"Названия числительных образуются по основанию числительных «пять», «десять», «пятнадцать» и «двадцать»."
G-6-8,G-6,Decimal with elements of quinary,Десятичная с элементами пятеричной,,"Названия числительных образуются по основанию числительных «десять» и, реже, «пять»."
G-6-9,G-6,"Mixed, with elements of quinary, decimal, and vigesimal","Смешанная с элементами пятеричной, десятичной и двадцатеричной",,"Названия числительных образуются по основанию числительных «пять», «десять» и «двадцать»."
G-6-10,G-6,Decimal with elements of duodecimal and vigesimal,Десятичная с элементами двенадцатеричной и двадцатеричной,,"Названия числительных образуются по основанию числительных «десять» и, реже, «двенадцать» и «двадцать»."
H-1-1,H-1,One-two,Один-два,,
H-1-2,H-1,Three-seven,Три-семь,,
H-1-3,H-1,Eight-twelve,Восемь-двенадцать,,
H-1-4,H-1,Thirteen-twenty,Тринадцать-двадцать,,
H-1-5,H-1,Over twenty,Больше 20,,
H-1-6,H-1,No case,Категория падежа отсутствует,,
H-2-1,H-2,Verbal agreement,Глагольное согласование,,
H-2-2,H-2,Object pronouns,Объектная форма личных местоимений,,
H-2-3,H-2,Case affixes,Падежные аффиксы,,
H-2-4,H-2,Function words,Служебные слова,,
H-2-5,H-2,Verbal agreement and case affixes,Глагольное согласование и падежные аффиксы,,
H-2-6,H-2,Verbal agreement and function words,Глагольное согласование и служебные слова,,
H-2-7,H-2,"Internal inflection, verbal agreement, and case affixes","Внутренняя флексия, глагольное согласование и падежные аффиксы",,
H-2-8,H-2,"Verbal agreement, case affixes and function words","Глагольное согласование, падежные аффиксы и служебные слова",,
H-2-9,H-2,"Verbal agreement, pronominal reprise, case affixes, and function words","Глагольное согласование, местоименная реприза, падежные аффиксы и служебные слова",,
H-2-10,H-2,"Verbal agreement, function words, object pronouns, and verbal pronouns","Глагольное согласование, служебные слова, объектная форма личных местоимений и приглагольные местоимения",,
H-2-11,H-2,"Object pronouns, function words, case affixes, and verbal agreement","Объектная форма местоимений, служебные слова, падежные аффиксы и глагольное согласование",,
H-2-12,H-2,Subject and object personal pronouns and word order,Субъектная и объектная форма личных местоимений и порядок слов,,
H-2-13,H-2,"Case affixes, verbal agreement, and word order","Падежные аффиксы, глагольное согласование и порядок слов",,
H-2-14,H-2,"Subject and object personal pronouns, prepositions, and word order","Субъектная и объектная форма личных местоимений, предлоги и порядок слов",,
H-2-15,H-2,"Subject and object personal pronouns, prepositions, verbal agreement, and word order","Субъектная и объектная форма личных местоимений, предлоги, глагольное согласование и порядок слов",,
H-2-16,H-2,"Subject and object personal pronouns, verbal agreement, and word order","Субъектная и объектная форма личных местоимений, глагольное согласование и порядок слов",,
H-2-17,H-2,"Subject and object personal pronouns, prepositions, and verbal agreement","Субъектная и объектная форма личных местоимений, предлоги и глагольное согласование",,
H-2-18,H-2,"Case affixes, subject and object personal pronouns, prepositions, and verbal agreement","Падежные аффиксы, субъектная и объектная форма личных местоимений, предлоги и глагольное согласование",,
H-2-19,H-2,"Case affixes, subject and object personal pronouns, prepositions, verbal agreement, and word order","Падежные аффиксы, субъектная и объектная форма личных местоимений, предлоги, глагольное согласование и порядок слов",,
H-2-20,H-2,"Case and number flections, subject, direct and indirect object personal pronouns, prepositions, and verbal agreement","Падежно-числовые флексии, субъектная, прямо- и косвеннообъектная форма личных местоимений, предлоги и глагольное согласование",,
H-2-21,H-2,"Subject, direct and indirect object personal pronouns, verbal agreement and word order","Субъектная, прямо- и косвеннообъектная форма личных местоимений, глагольное согласование и порядок слов",,
H-2-22,H-2,"Subject, direct and indirect object personal pronouns, prepositions, verbal agreement, and word order","Субъектная, прямо- и косвеннообъектная форма личных местоимений, предлоги, глагольное согласование и порядок слов",,
H-2-23,H-2,"Subject, direct and indirect object personal pronouns, pronominal reprise, prepositions, verbal agreement, and word order","Субъектная, прямо- и косвеннообъектная форма личных местоимений, местоименная реприза, предлоги, глагольное согласование и порядок слов",,
H-3-1,H-3,Absolutive,Абсолютив,,
H-3-2,H-3,Genitive,Генитив,,
H-3-3,H-3,Oblique,Косвенный падеж,,
H-3-4,H-3,Nominative,Номинатив,,
H-3-5,H-3,Partitive,Партитив,,
H-3-6,H-3,Instrumental,Инструменталис,,
H-3-7,H-3,Translative,Транслатив,,
H-3-8,H-3,Essive,Эссив,,
H-3-9,H-3,Nominative or oblique,Номинатив или косвенный падеж,,
H-3-10,H-3,Nominative or partitive,Номинатив или партитив,,
H-3-11,H-3,Nominative or rhemative,Номинатив или рематив,,
H-3-12,H-3,Nominative or instrumental,Номинатив или инструменталис,,
H-3-13,H-3,Translative or essive,Транслатив или эссив,,
H-3-14,H-3,Caseless form,Общий падеж,,
H-3-15,H-3,Nominative or ergative,Номинатив или эргатив,,
H-4-1,H-4,Genitive,Генитив,,Обладатель оформляется генитивом.
H-4-2,H-4,Dative,Датив,,Обладатель оформляется дативом.
H-4-3,H-4,Ablative,Аблатив,,Обладатель оформляется аблативом.
H-4-4,H-4,Possessive,Посессив,,
H-4-5,H-4,Oblique,Косвенный,,
H-4-6,H-4,Genitive or dative,Генитив или датив,,Обладатель оформляется генитивом или дативом.
H-4-7,H-4,Nominative or genitive,Номинатив или генитив,,Обладатель оформляется номинативом или генитивом.
H-5-1,H-5,Verbs of possession,Глаголы обладания,,
H-5-2,H-5,Possessive particles,Посессивные частицы,,
H-5-3,H-5,Possessive affixes,Посессивные аффиксы,,
H-5-4,H-5,Possessive pronouns,Посессивные местоимения,,
H-5-5,H-5,Adpositions,Послелоги и предлоги,,
H-5-6,H-5,Possessive adjectives,Посессивные прилагательные,,
H-5-7,H-5,Apposition,Соположение,,
H-5-8,H-5,Possessive declension,Посессивное склонение,,
H-5-9,H-5,Possessive affixes and possessive pronouns,Посессивные аффиксы и посессивные местоимения,,
H-5-10,H-5,Possessive pronominal enclitics and possessive pronouns,Посессивные местоименные энклитики и посессивные местоимения,,
H-5-11,H-5,Apposition and prepositions,Соположение и предлоги,,
H-5-12,H-5,Possessive particles and reflexive pronouns,Посессивные частицы и возвратные местоимения,,
H-5-13,H-5,"Apposition, pronouns and pronominal enclitics","Соположение, местоимения и местоименные энклитики",,
H-5-14,H-5,"Apposition, possessive pronouns, possessive adjectives and possessive affixes","Соположение, притяжательное местоимение, притяжательные прилагательные и притяжательные аффиксы",,
H-5-15,H-5,"Apposition, possessive affixes and prepositions","Соположение, посессивные аффиксы и предлоги",,
H-5-16,H-5,Possessive adjectives and pronouns,Посессивные прилагательные и местоимения,,
H-5-17,H-5,"Possessive pronouns, possessive adjectives, and affixes","Посессивные местоимения, посессивные прилагательные и аффиксы",,
H-5-18,H-5,Prepositions,Предлоги,,
H-5-19,H-5,Possessive pronouns and prepositions,Посессивные местоимения и предлоги,,
H-5-20,H-5,Apposition and postpositions,Соположение и послелоги,,
H-5-21,H-5,Possessive pronouns and possessive adjectives,Посессивные местоимения и посессивные прилагательные,,
H-5-22,H-5,"Apposition, izafat, and possessive particles","Соположение, изафетная конструкция и посессивные частицы",,
H-5-23,H-5,Apposition and possessive pronouns,Соположение и посессивные местоимения,,
H-5-24,H-5,"Possessive pronouns, possessive adjectives, personal pronouns, and prepositions","Посессивные местоимения, посессивные прилагательные, личные местоимения и предлоги",,
H-5-25,H-5,"Possessive pronouns, possessive adjectives, personal pronouns, prepositions, and possessive article","Посессивные местоимения, посессивные прилагательные, личные местоимения, предлоги и посессивный артикль",,
H-5-26,H-5,Possessive pronouns and affixes,Посессивные местоимения и аффиксы,,
H-5-27,H-5,Possessive pronouns and articles,Посессивные местоимения и артикли,,
H-5-28,H-5,"Possessive pronouns, prepositions and particles","Посессивные местоимения, предлоги и частицы",,
H-5-29,H-5,"Possessive pronouns, possessive adjectives, and prepositions","Посессивные местоимения, посессивные прилагательные и предлоги",,
H-5-30,H-5,Reflexive pronoun and genitive forms of personal pronouns,Возвратное местоимение и формы генитива личных местоимений,,
H-5-31,H-5,"Possessive pronouns, possessive adjectives, and prepositional-nominal constructions","Посессивные местоимения, посессивные прилагательные и предложно-падежные конструкции",,
H-5-32,H-5,Possessive pronouns and verbs of possession,Посессивные местоимения и глаголы обладания,,
H-5-33,H-5,"Possessive pronouns, possessive adjectives, verbs of possession, and prepositions","Посессивные местоимения, посессивные прилагательные, глаголы обладания и предлоги",,
H-5-34,H-5,Possessive and personal pronouns,Посессивные и личные местоимения,,
H-5-35,H-5,Possessive pronouns and word order,Посессивные местоимения и порядок слов,,
H-5-36,H-5,"Possessive pronouns, possessive adjectives, and verbs of possession","Посессивные местоимения, посессивные прилагательные и глаголы обладания",,
H-6-1,H-6,Noun affixes,Именные аффиксы,,
H-6-2,H-6,Preverbs,Превербы,,
H-6-3,H-6,Verbal affixes,Глагольные аффиксы,,
H-6-4,H-6,Spatial adverbs,Наречия места,,
H-6-5,H-6,Postpositions,Послелоги,,
H-6-6,H-6,Prepositions,Предлоги,,
H-6-7,H-6,Adpositional constructions,Предложно/послеложно-именные конструкции,,
H-6-8,H-6,Noun affixes and verbal affixes,Именные аффиксы и глагольные аффиксы,,
H-6-9,H-6,Noun affixes and adpositional constructions,Именные аффиксы и предложно/послеложно-именные конструкции,,
H-6-10,H-6,Noun affixes and prepositions,Именные аффиксы и предлоги,,
H-6-11,H-6,Noun affixes and postpositions,Именные аффиксы и послелоги,,
H-6-12,H-6,Adpositions,Предлоги и послелоги,,
H-6-13,H-6,Noun affixes and spatial adverbs,Именные аффиксы и наречия места,,
H-6-14,H-6,Postpositions and function nouns,Послелоги и служебные имена,,
H-6-15,H-6,Pronouns and locative cases,Местоимения и пространственные падежи,,
H-6-16,H-6,"Noun affixes, pronominal adverbs and adpositional constructions","Именные аффиксы, местоименные наречия и предложно/послеложно-именные конструкции",,
H-6-17,H-6,"Noun affixes, adverbs of place, and postpositions","Именные аффиксы, наречия места и послелоги",,
H-6-18,H-6,"Noun affixes, adverbs of place, and prepositions","Именные аффиксы, наречия места и предлоги",,
H-6-19,H-6,"Noun affixes, preverbs and postpositions","Именные аффиксы, превербы и послелоги",,
H-6-20,H-6,"Noun affixes, verbal affixes and postpositions","Именные аффиксы, глагольные аффиксы и послелоги",,
H-6-21,H-6,Noun affixes and adpositions,"Именные аффиксы, предлоги и послелоги",,
H-6-22,H-6,"Pronouns, pronominal adverbs, locative cases, postpositions","Местоимения, местоименные наречия, пространственные падежи и послелоги",,
H-6-23,H-6,"Noun affixes, adpositions and internal flection","Именные аффиксы, предлоги, послелоги и внутренняя флексия",,
